wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-27T10:32:45.387,0,"[0.0007116181077435613, 0.0010105762630701065, 0.0017910330789163709, -2.0763269503731863e-07, -1.47652006177168e-08, -7.139250612908654e-08]","[0.0011340125929564238, 0.0007536720368079841, 0.0017799143679440022, -1.7338918212317367e-07, 4.145964993540474e-08, -7.148631908648895e-08]"
2026-02-27T10:32:45.657,1,"[0.0011597941629588604, 0.0007018297328613698, 0.0007206365698948503, -9.422991809060477e-08, 1.5259854535543127e-07, 5.114859291666107e-08]","[0.0011368055129423738, 0.0006670356378890574, 0.0007582036196254194, -8.967955267280558e-08, 1.4937448611362925e-07, 5.0904620962910485e-08]"
2026-02-27T10:32:45.713,2,"[0.0013032171409577131, 0.0005076276138424873, 0.00034756638342514634, -2.9239270560310615e-08, 1.6868597185748513e-07, 2.44255573988994e-07]","[0.0013055098243057728, 0.0006259848596528172, 0.00038192575448192656, -4.5059657338697434e-08, 1.6884013120943564e-07, 2.4475525606248993e-07]"
2026-02-27T10:32:45.771,3,"[0.0008318809559568763, 0.00045999675057828426, 0.00026210772921331227, -3.568544570953236e-08, 1.1344742745222902e-07, 1.6985579520678584e-07]","[0.0008274641586467624, 0.0005851599853485823, 0.00031030538957566023, -5.244838163775967e-08, 1.1264631893936894e-07, 1.7038188104834262e-07]"
2026-02-27T10:32:45.832,4,"[-0.0001477875339332968, 0.0004563982365652919, 0.0002521541900932789, -5.737750896628313e-08, -1.1550795875336917e-08, -7.806723267833604e-09]","[-0.00017286655202042311, 0.0005340192001312971, 0.0002886245783884078, -6.778787309258405e-08, -1.5050401813709868e-08, -7.518055511468447e-09]"
2026-02-27T10:32:45.889,5,"[-0.0001566227583680302, 0.0003998848842456937, 0.00017836556071415544, -6.084053438826231e-08, -6.480601388858531e-09, -1.2697054962984566e-08]","[-0.00021005660528317094, 0.00043430019286461174, 0.00021304194524418563, -6.550187947595987e-08, -1.3743196802806779e-08, -1.2673191385204063e-08]"
2026-02-27T10:32:45.943,6,"[-0.00017463510448578745, 0.00033594961860217154, 0.0001035172026604414, -5.882062481532557e-08, -1.924565173894166e-09, -1.82277624105609e-08]","[-0.00025550220743753016, 0.00033950802753679454, 0.00013612206385005265, -5.93746385391114e-08, -1.2826377293606583e-08, -1.8410963420478765e-08]"
2026-02-27T10:32:45.999,7,"[-0.0002021247346419841, 0.0002731607819441706, 2.1890162315685302e-05, -5.08238429119956e-08, -4.407884335311252e-10, -2.394445175468718e-08]","[-0.00030064614838920534, 0.0002638655132614076, 4.8604186304146424e-05, -4.965549038615791e-08, -1.3664127607171395e-08, -2.422925682310506e-08]"
2026-02-27T10:32:46.057,8,"[-0.0002486862358637154, 0.00022452094708569348, -6.404677696991712e-05, -3.91728285364934e-08, -4.575018142105591e-09, -2.9921057631554504e-08]","[-0.0003516282595228404, 0.00021969369845464826, -4.6053108235355467e-05, -3.8578871652816815e-08, -1.8347197539014815e-08, -3.0195970168733766e-08]"
2026-02-27T10:32:46.114,9,"[-0.00030456791864708066, 0.00019361697195563465, -0.00015518817235715687, -2.470658522213398e-08, -1.4425930672246068e-08, -3.517746094416907e-08]","[-0.0003947136865463108, 0.00021242740331217647, -0.0001457500329706818, -2.7237213373609848e-08, -2.645791674638076e-08, -3.531285486246816e-08]"
