wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-26T14:50:07.742,24,"[-3.5704424590221606e-06, 0.0007386820507235825, 0.00012844783486798406, -1.199535262230711e-07, 8.43471625877612e-10, 4.7454356000287135e-09]","[3.739845487871207e-05, 0.0006925867055542767, 0.00014324061339721084, -1.1385893827764448e-07, 6.225850057717253e-09, 4.6456780644632545e-09]"
2026-02-26T14:50:07.775,25,"[-0.00021941110026091337, 0.0009124827338382602, -0.00015879451530054212, -1.1944374023187265e-07, -6.587173828620507e-08, 1.3062285475484714e-08]","[8.420205995207652e-05, 0.0009191607241518795, -0.00014554275549016893, -1.203726895937507e-07, -2.5550550120101434e-08, 1.3870606885291181e-08]"
2026-02-26T14:50:07.808,26,"[0.00021246544201858342, 0.0011913320049643517, -0.0001508758869022131, -1.5828148036689527e-07, -4.167497280604948e-08, 5.8271549363553277e-08]","[0.0005887476727366447, 0.0011244349880144, -0.00012521720782388002, -1.4945695170354156e-07, 8.256980876808484e-09, 5.8924165102780535e-08]"
2026-02-26T14:50:07.843,27,"[0.00022065789380576462, 0.0013959483476355672, 0.003833385417237878, -1.831454596867843e-07, -2.5529104163979355e-08, 5.60980382147136e-08]","[0.0002225820644525811, 0.00116021279245615, -0.00043094035936519504, -1.4087993349676253e-07, -6.234254446013665e-09, 5.5047838287691775e-08]"
2026-02-26T14:50:07.881,28,"[0.29002463817596436, 10.829931259155273, -35.94184112548828, 0.3032444417476654, -0.06692501902580261, -0.07067877054214478]","[-0.013005411252379417, -0.07224906980991364, 0.24733611941337585, 0.0012344011338427663, -0.0004984826082363725, -2.4718381610000506e-05]"
2026-02-26T14:50:07.919,29,"[0.3943796455860138, 11.934455871582031, -44.30963134765625, 0.07724925130605698, -0.2624654769897461, 0.004786706063896418]","[0.001718786428682506, -0.011774281971156597, 0.06536974012851715, 0.0005756932077929378, -0.00010716458928072825, -0.00025269886828027666]"
2026-02-26T14:50:07.955,30,"[1.1826484203338623, 12.109498977661133, -46.527854919433594, 0.07508187741041183, -0.2838455140590668, 0.008308175951242447]","[0.03382331132888794, 0.11141473054885864, 0.18122754991054535, 0.001715991529636085, -0.0003098521556239575, -1.9315266399644315e-05]"
2026-02-26T14:50:07.992,31,"[1.910227656364441, 12.27735710144043, -46.655418395996094, 0.07449604570865631, -0.28728222846984863, 0.0083971181884408]","[0.011039144359529018, 0.12737718224525452, 0.2052876502275467, 0.0019331651274114847, -0.0003561808553058654, 0.000142274220706895]"
2026-02-26T14:50:08.030,32,"[2.239964485168457, 12.370670318603516, -46.6986198425293, 0.0741715356707573, -0.2888972759246826, 0.008893907070159912]","[-0.023688893765211105, 0.1251647174358368, 0.20759740471839905, 0.0019474441651254892, -0.00036967406049370766, 0.00010911943536484614]"
2026-02-26T14:50:08.070,33,"[2.239508867263794, 12.468058586120605, -46.5032958984375, 0.074334517121315, -0.2872348129749298, 0.019131338223814964]","[-0.05285904183983803, 0.10715190321207047, 0.200834721326828, 0.0018740257946774364, -0.0003650926228147, 9.643145313020796e-05]"
2026-02-26T14:50:08.109,34,"[2.1780459880828857, 12.605009078979492, -46.254913330078125, 0.07472395151853561, -0.2872849404811859, 0.005673438310623169]","[-0.06308548897504807, 0.07481282204389572, 0.16932092607021332, 0.0015689156716689467, -0.0003110228863079101, 4.603879278874956e-05]"
2026-02-26T14:50:08.146,35,"[1.9552823305130005, 12.6732816696167, -45.92319869995117, 0.0751986876130104, -0.2861165702342987, -0.0006035631522536278]","[-0.05985938385128975, 0.0463649146258831, 0.13472071290016174, 0.001240445300936699, -0.00024891740758903325, 2.2395837731892243e-05]"
2026-02-26T14:50:08.184,36,"[1.4740190505981445, 12.713662147521973, -45.553688049316406, 0.07669185101985931, -0.2824586033821106, 0.0026465316768735647]","[-0.05441123992204666, 0.02778235450387001, 0.11221091449260712, 0.0010252351639792323, -0.0002076236269203946, 1.2265883924555965e-05]"
2026-02-26T14:50:08.219,37,"[1.2768313884735107, 12.655801773071289, -45.222686767578125, 0.07579571008682251, -0.2803421914577484, 0.007146602496504784]","[-0.0496172271668911, 0.017374299466609955, 0.09943690150976181, 0.0009016221156343818, -0.00018353716586716473, 8.883687769412063e-06]"
2026-02-26T14:50:08.256,38,"[1.2497364282608032, 12.604629516601562, -44.960479736328125, 0.07627792656421661, -0.2782893180847168, 0.005353882908821106]","[-0.04914701730012894, 0.009433891624212265, 0.09850280731916428, 0.0008872267208062112, -0.00018108240328729153, 9.380398296343628e-06]"
2026-02-26T14:50:08.292,39,"[1.165618658065796, 12.345396995544434, -44.70657730102539, 0.07644575834274292, -0.2764691710472107, 0.0035297966096550226]","[-0.04317512363195419, 0.006171630695462227, 0.08791615813970566, 0.0007868482498452067, -0.00016171534662134945, 7.76139677327592e-06]"
2026-02-26T14:50:08.329,40,"[1.2079533338546753, 12.06322956085205, -44.46281433105469, 0.07659316062927246, -0.27481329441070557, 0.0011801118962466717]","[-0.03565266728401184, 0.004791101906448603, 0.07305806875228882, 0.0006521417526528239, -0.00013468257384374738, 6.036274498910643e-06]"
2026-02-26T14:50:08.365,41,"[1.1463531255722046, 11.582498550415039, -44.04714584350586, 0.07195456326007843, -0.2812909185886383, -0.00023583951406180859]","[-0.013476571999490261, 0.002262877533212304, 0.027403196319937706, 0.00024159892927855253, -4.976243872079067e-05, 2.2253375391301233e-06]"
2026-02-26T14:50:08.400,42,"[0.8471471071243286, 11.471399307250977, -43.915733337402344, 0.07804875820875168, -0.2714129090309143, -0.00488060899078846]","[-0.013427079655230045, 0.0015434196684509516, 0.0004470299172680825, -9.140300107901567e-07, -3.497780198813416e-06, 2.6082486215273093e-07]"
2026-02-26T14:50:08.435,43,"[0.9349173903465271, 11.142507553100586, -44.35586929321289, 0.07850980758666992, -0.2742777466773987, -0.004793000407516956]","[-0.008854099549353123, 0.003795788623392582, 0.0001258983975276351, -9.525012956146384e-07, -2.3788361431797966e-06, 4.189311564317677e-09]"
2026-02-26T14:50:08.471,44,"[0.6618615984916687, 10.710140228271484, -44.738834381103516, 0.07820253074169159, -0.27602511644363403, -0.0034367432817816734]","[-0.021809522062540054, 0.02195603959262371, 0.05673013627529144, 0.0005172486999072134, -0.00010184150596614927, 2.2070937575335847e-06]"
2026-02-26T14:50:08.506,45,"[0.4844602942466736, 10.40933609008789, -44.95771026611328, 0.07872524857521057, -0.27590692043304443, 0.009403171017765999]","[-0.028894558548927307, 0.04253635182976723, 0.09080417454242706, 0.000835365557577461, -0.00016068136028479785, 9.300328201788943e-06]"
2026-02-26T14:50:08.542,46,"[0.4101424515247345, 10.274346351623535, -45.14992904663086, 0.08008270710706711, -0.2759665250778198, 0.003805282060056925]","[-0.028047574684023857, 0.06513764709234238, 0.119967520236969, 0.0011149563360959291, -0.00020859536016359925, 2.3133694412535988e-05]"
2026-02-26T14:50:08.577,47,"[0.3702860176563263, 10.184350967407227, -45.24545669555664, 0.07947444170713425, -0.2764487564563751, 0.0002067821187665686]","[-0.023849057033658028, 0.07927365601062775, 0.13568681478500366, 0.0012708945432677865, -0.000232077349210158, 3.486375862848945e-05]"
2026-02-26T14:50:08.614,48,"[0.15438388288021088, 10.234051704406738, -45.31210708618164, 0.08108796179294586, -0.27422529458999634, 0.00656529888510704]","[-0.022238820791244507, 0.092910535633564, 0.1526479572057724, 0.0014131783973425627, -0.0002181699383072555, 0.0004909901763312519]"
2026-02-26T14:50:08.651,49,"[0.028080135583877563, 10.195016860961914, -45.23445129394531, 0.08060726523399353, -0.2722651958465576, 0.01660832203924656]","[-0.0203838050365448, 0.10393092781305313, 0.1667586863040924, 0.001574902213178575, -0.00027949424111284316, 1.811566653486807e-05]"
2026-02-26T14:50:08.688,50,"[-0.08691228926181793, 10.185880661010742, -45.19447326660156, 0.08094529062509537, -0.27131879329681396, 0.020145714282989502]","[-0.01934133842587471, 0.1109011322259903, 0.1759636402130127, 0.0016647918382659554, -0.00029256337438710034, 1.802069709810894e-05]"
